region,latitude,longitude,price_czk,area_m2,vlastnictvi,energ_stitek,dist_vecerka_m,dist_obchod_m,dist_tram_m,dist_metro_m,dist_bus_mhd_m,url,construction,condition,floor,city,district,heating,rooms,kitchen,price_per_m2
Pardubický kraj,49.7685534,16.66482988,696000.0,36,1,1.0,595.0,1872.0,,,165.0,https://www.sreality.cz/detail/prodej/byt/1+1/moravska-trebova-susice-/148488268,Cihlová,2.0,1.0,Moravská Třebová,Sušice,Lokální plynové,1.0,1.0,19333.333333333332
Jihočeský kraj,49.20244739,13.72960531,729000.0,63,1,1.0,3426.0,,,,118.0,https://www.sreality.cz/detail/prodej/byt/2+1/strasice-strasice-/1687003212,Cihlová,2.0,0.0,Strašice, Strakonice,,2.0,1.0,11571.42857142857
Karlovarský kraj,50.10439947,12.66873555,745000.0,38,1,1.0,102.0,,,,50.0,https://www.sreality.cz/detail/prodej/byt/1+1/rovna-rovna-/4101365836,Panelová,3.0,6.0,Rovná, Sokolov,Ústřední dálkové,1.0,1.0,19605.263157894737
Karlovarský kraj,50.1288685,12.552487,755000.0,48,1,1.0,40.0,1915.0,,,132.0,https://www.sreality.cz/detail/prodej/byt/2+1/libavske-udoli-libavske-udoli-/3429494860,Cihlová,2.0,4.0,Libavské Údolí, Sokolov,Ústřední dálkové,2.0,1.0,15729.166666666666
Liberecký kraj,50.72560975,15.43357339,789000.0,70,1,1.0,1278.0,,,,122.0,https://www.sreality.cz/detail/prodej/byt/3+kk/rokytnice-nad-jizerou-dolni-rokytnice-/1884463180,Cihlová,7.0,1.0,Rokytnice nad Jizerou,Dolní Rokytnice,Tepelné čerpadlo,3.0,0.0,11271.42857142857
Olomoucký kraj,49.77788357,17.50040102,790000.0,52,1,1.0,4404.0,,,,211.0,https://www.sreality.cz/detail/prodej/byt/2+1/norbercany-stara-libava-/3056070732,Cihlová,3.0,2.0,Norberčany,Stará Libavá,,2.0,1.0,15192.307692307691
Olomoucký kraj,50.29853657,17.32154619,790000.0,52,1,1.0,354.0,,,,21.0,https://www.sreality.cz/detail/prodej/byt/2+1/mikulovice-mikulovice-/2605174860,Cihlová,2.0,1.0,Mikulovice, Jeseník,,2.0,1.0,15192.307692307691
Karlovarský kraj,50.12911512,12.5522658,799000.0,36,1,3.0,58.0,1922.0,,,104.0,https://www.sreality.cz/detail/prodej/byt/1+1/libavske-udoli-libavske-udoli-/4175946572,Cihlová,3.0,2.0,Libavské Údolí, Sokolov,Plynový kotel,1.0,1.0,22194.444444444445
Karlovarský kraj,50.10439947,12.66873555,799999.0,20,1,1.0,36.0,,,,147.0,https://www.sreality.cz/detail/prodej/byt/1+kk/rovna-rovna-/3020718156,Panelová,3.0,1.0,Rovná, Sokolov,Přímotop,1.0,0.0,39999.95
Ústecký kraj,50.89875461,14.62490377,800000.0,27,2,1.0,267.0,1280.0,,,254.0,https://www.sreality.cz/detail/prodej/byt/1+kk/varnsdorf-varnsdorf-celakovicka/2380177484,Panelová,5.0,4.0,Varnsdorf, Děčín,,1.0,0.0,29629.62962962963
