estate_id,title,locality,region,latitude,longitude,price_czk,price_per_m2,area_m2,category,is_new,has_video,has_3d,premise,seller,prislusenstvi,stavba,historie,infrastruktura,topeni,telekomunikace,studna,vlastnictvi,energ_stitek,anuita,dist_vecerka_m,dist_obchod_m,dist_tram_m,dist_metro_m,dist_bus_mhd_m,url,scraped_at
3800568652,Prodej bytu atypický 70 m²,"Třebenice, Litoměřice",Ústecký kraj,50.475257,13.990871,57990,57990,70,Atypický,FALSE,FALSE,FALSE,Reality Dagrin CZ s.r.o.,Michala Zikmund,"Nezařízeno, Balkón, Lodžie, Terasa, Sklep, Garáž, Parkovací stání, Zahrada o ploše 270 m²","Cihlová, Ve výstavbě, 2. podlaží z 3",Rok výstavby: 2024,"Vodovod: Vodovod; Elektřina: 230V; Doprava: Vlak, Dálnice, Silnice, Autobus",Topení: Podlahové,,,Osobní,B - Velmi úsporná,,210,5596,,,213,https://www.sreality.cz/detail/prodej/byt/atypicky/trebenice-trebenice-/3800568652,2026-07-28T01:09:54.429384+00:00
3229409356,Prodej bytu 2+kk 82 m²,"Poděbrady, Nymburk",Středočeský kraj,50.14097813,15.13254562,8036000,98000,82,2+kk,FALSE,FALSE,FALSE,Ing. Bc. Bára Škorpíková,Ing. Bc. Bára Škorpíková,"Výtah, Zařízeno, Sklep, Parkovací stání","Cihlová, Velmi dobrý, 2. podlaží",Rok kolaudace: 2019,,"Zdroj vytápění: Plynový kondenzační kotel; Otopná tělesa: Podlahové vytápění, Klimatizace",,,Osobní,B - Velmi úsporná,,803,2572,,,10,https://www.sreality.cz/detail/prodej/byt/2+kk/podebrady-podebrady-palackeho/3229409356,2026-07-28T01:42:55.070189+00:00
3464557388,Prodej bytu 3+kk 77 m²,Tábor - Čekanice,Jihočeský kraj,49.42041925,14.67708586,7700000,100000,77,3+kk,FALSE,FALSE,FALSE,,,Terasa o ploše 50 m²,"Cihlová, Novostavba, 1. podlaží",,,,,,Osobní,A - Mimořádně úsporná,,535,921,,,62,https://www.sreality.cz/detail/prodej/byt/3+kk/tabor-cekanice-fibichova/3464557388,2026-07-27T23:50:10.723264+00:00
3705008204,Prodej bytu 2+1 40 m²,"Litvínov - Janov, Most",Ústecký kraj,50.59098649,13.56074395,134500,3362,40,2+1,FALSE,FALSE,FALSE,I.E.T. Reality,Bc. Tomáš Indrák,,"Panelová, Před rekonstrukcí, 3. podlaží",,,,,,Osobní,G - Mimořádně nehospodárná,,155,3044,3062,,30,https://www.sreality.cz/detail/prodej/byt/2+1/litvinov-janov-trebusicka/3705008204,2026-07-27T23:26:10.868340+00:00
381551436,Prodej bytu 2+1 75 m²,"Písečná, Jeseník",Olomoucký kraj,50.26434509,17.27116707,339000,4520,75,2+1,FALSE,FALSE,FALSE,Jesenická realitní,Kamil Filgas,Parkovací stání,"Cihlová, Špatný, 3. podlaží z 1",,"Vodovod: Vodovod; Doprava: Silnice, Autobus; Komunikace: Asfaltová, Zpevněná",,,,Osobní,E - Nehospodárná,,571,,,,145,https://www.sreality.cz/detail/prodej/byt/2+1/pisecna-pisecna-/381551436,2026-07-27T23:47:46.228587+00:00
3240514124,Prodej bytu 2+1 75 m²,"Písečná, Jeseník",Olomoucký kraj,50.2684905,17.26483227,495000,6600,75,2+1,FALSE,FALSE,FALSE,Dražební společnost MORAVA,Petra Menšíková,Sklep o ploše 9 m²,"Cihlová, Před rekonstrukcí, 1. podlaží",,,,,,Osobní,,,247,5486,,,193,https://www.sreality.cz/detail/prodej/byt/2+1/pisecna-pisecna-/3240514124,2026-07-27T23:47:46.228587+00:00
4096897868,Prodej bytu 4+kk 100 m²,"Písečná, Jeseník",Olomoucký kraj,50.264373,17.271182,588800,5888,100,4+kk,FALSE,FALSE,FALSE,PREXIMA nemovitosti s.r.o.,Matěj Kajuk,,"Smíšená, Před rekonstrukcí, 1. podlaží z 3",Rok kolaudace: 1970,,,,,Osobní,G - Mimořádně nehospodárná,,571,,,,145,https://www.sreality.cz/detail/prodej/byt/4+kk/pisecna-pisecna-/4096897868,2026-07-27T23:49:17.807753+00:00
2385605452,Prodej bytu 4+1 73 m²,"Litvínov - Janov, Most",Ústecký kraj,50.59319394,13.56990326,690000,9452,73,4+1,FALSE,FALSE,FALSE,Reality Markéta Oktábcová,Markéta Oktábcová,"Výtah, Částečně zařízeno, Lodžie","Panelová, Dobrý, 3. podlaží z 8",,"Vodovod: Vodovod; Plyn: Plynovod; Elektřina: 230V; Kanalizace: Veřejná kanalizace; Doprava: Vlak, Silnice, MHD, Autobus; Komunikace: Asfaltová",Zdroj vytápění: Ústřední dálkové; Otopná tělesa: Radiátory,,,Družstevní,,,78,2394,2458,,33,https://www.sreality.cz/detail/prodej/byt/4+1/litvinov-janov-hamerska/2385605452,2026-07-27T23:27:45.014454+00:00
148488268,Prodej bytu 1+1 36 m²,"Moravská Třebová - Sušice, Svitavy",Pardubický kraj,49.7685534,16.66482988,696000,19333,36,1+1,FALSE,FALSE,FALSE,Bidli reality,Jaroslav Záleský,"Částečně zařízeno, Sklep","Cihlová, Před rekonstrukcí, 1. podlaží z 2",Rok výstavby: 1919,"Vodovod: Vodovod; Elektřina: 230V; Kanalizace: Veřejná kanalizace; Doprava: Vlak, Silnice, MHD, Autobus",Topení: Lokální plynové,,,Osobní,G - Mimořádně nehospodárná,,595,1872,,,165,https://www.sreality.cz/detail/prodej/byt/1+1/moravska-trebova-susice-/148488268,2026-08-22T01:24:41.924842+00:00
1590681676,Prodej bytu atypický 35 m²,"Hostinné, Trutnov",Královéhradecký kraj,50.538199,15.731684,698000,19943,35,Atypický,FALSE,FALSE,FALSE,EVROPA realitní kancelář VRCHLABÍ,Lubor Karásek,Částečně zařízeno,"Cihlová, Dobrý, 3. podlaží z 3",,Vodovod: Vodovod; Elektřina: 230V; Kanalizace: Veřejná kanalizace; Komunikace: Asfaltová,Zdroj vytápění: Přímotop; Otopná tělesa: Přímotop,,,Osobní,G - Mimořádně nehospodárná,,509,,,,108,https://www.sreality.cz/detail/prodej/byt/atypicky/hostinne-hostinne-nadrazni/1590681676,2026-07-27T23:22:57.494324+00:00
1721335884,Prodej bytu 4+1 80 m²,"Litvínov - Janov, Most",Ústecký kraj,50.59324594,13.57014639,699000,8738,80,4+1,FALSE,FALSE,FALSE,Nemovitosti SEVER s.r.o.,Jitka Korousová,"Výtah, Lodžie","Panelová, Dobrý, 2. podlaží z 8",,"Vodovod: Vodovod; Plyn: Plynovod; Elektřina: 230V; Kanalizace: Veřejná kanalizace; Doprava: Silnice, MHD, Autobus; Komunikace: Asfaltová",Topení: Ústřední dálkové; Zdroj vytápění: Ústřední dálkové; Otopná tělesa: Radiátory,"Telekomunikace: Telefon, Kabelová televize, Kabelové rozvody",,Družstevní,,,60,2377,2442,,29,https://www.sreality.cz/detail/prodej/byt/4+1/litvinov-janov-hamerska/1721335884,2026-07-27T23:36:10.652762+00:00
645096268,Prodej bytu 3+kk 63 m²,"Broumov, Náchod",Královéhradecký kraj,50.58357095,16.33397057,720869,11442,63,3+kk,FALSE,TRUE,FALSE,Reality Náchodsko,Tomáš Jirout,,"Cihlová, Dobrý, 1. podlaží",,,,,,Družstevní,,,369,159,,,224,https://www.sreality.cz/detail/prodej/byt/3+kk/broumov-broumov-male-namesti/645096268,2026-07-27T23:47:00.796235+00:00
1687003212,Prodej bytu 2+1 63 m²,"Strašice, Strakonice",Jihočeský kraj,49.20244739,13.72960531,729000,11571,63,2+1,FALSE,FALSE,FALSE,F&P reality,Hana Hoffmannová,Zařízeno,"Cihlová, Před rekonstrukcí, 0. podlaží",,Vodovod: Vodovod; Elektřina: 230V; Kanalizace: Veřejná kanalizace,,,,Osobní,G - Mimořádně nehospodárná,,3426,,,,118,https://www.sreality.cz/detail/prodej/byt/2+1/strasice-strasice-/1687003212,2026-07-27T23:30:33.084776+00:00
3497526092,Prodej bytu 4+1 79 m²,"Litvínov - Janov, Most",Ústecký kraj,50.59213271,13.56786269,735000,9304,79,4+1,FALSE,FALSE,FALSE,Molík reality,Radek  Molík,,"Panelová, Dobrý, 3. podlaží z 8",,,,,,Družstevní,,,114,2428,2490,,60,https://www.sreality.cz/detail/prodej/byt/4+1/litvinov-janov-hamerska/3497526092,2026-08-01T03:05:32.573218+00:00
4101365836,Prodej bytu 1+1 38 m²,"Rovná, Sokolov",Karlovarský kraj,50.10439947,12.66873555,745000,19605,38,1+1,FALSE,FALSE,FALSE,M&M Reality,Cselárová Milena,"Výtah, Částečně zařízeno","Panelová, Dobrý, 6. podlaží z 7",,"Vodovod: Vodovod; Plyn: Plynovod; Elektřina: 230V; Kanalizace: Veřejná kanalizace; Doprava: Vlak, Silnice, Autobus",Topení: Ústřední dálkové; Zdroj vytápění: Ústřední dálkové,,,Osobní,G - Mimořádně nehospodárná,,102,,,,50,https://www.sreality.cz/detail/prodej/byt/1+1/rovna-rovna-/4101365836,2026-07-27T23:14:04.851979+00:00
